chunk_id,text_content,source_document
01-prólogo.txt_0000,"hay futuro si hay verdad. sobre esta premisa se construyó el acuerdo de paz entre el estado colombiano y las farc-ep firmado en noviembre de 2016 para ponerle fin a la guerra insurgente-contrainsurgente que vivió colombia durante más de seis décadas. este pacto ha traído transformaciones que impulsan a la sociedad hacia el siglo xxi, a unas nuevas maneras de ciudadanía y a imaginar, por fin, un porvenir en paz. pero ni la paz ni la verdad son fáciles. la construcción de la convivencia pacífica se ha enfrentado a obstáculos muy graves, como la necesaria ampliación de la paz con el ejército de liberación nacional (eln), y siendo el mayor de ellos la continuación de conflictos armados localizados, donde priman las dinámicas criminales, el asesinato de líderes y excombatientes y la carencia de un clima propicio para la reconciliación y la paz grande, que involucre a toda la población colombiana.",01-prólogo.txt
01-prólogo.txt_0001,"pero ni la paz ni la verdad son fáciles. la construcción de la convivencia pacífica se ha enfrentado a obstáculos muy graves, como la necesaria ampliación de la paz con el ejército de liberación nacional (eln), y siendo el mayor de ellos la continuación de conflictos armados localizados, donde priman las dinámicas criminales, el asesinato de líderes y excombatientes y la carencia de un clima propicio para la reconciliación y la paz grande, que involucre a toda la población colombiana. la demanda de las víctimas por la verdad empezó a recorrer los caminos y veredas muchos años atrás. la tarea del esclarecimiento de la verdad es y seguirá siendo un proceso de construcción lleno de desafíos. la comisión para el esclarecimiento de la verdad, la convivencia y la no repetición quedó consignada en el acuerdo de paz como un organismo extrajudicial, temporal y como uno de los pilares del sistema integral para la paz, del que también hacen parte la jurisdicción especial para la paz (jep) y la unidad de búsqueda de personas dadas por desaparecidas (ubpd).",01-prólogo.txt
01-prólogo.txt_0002,"la tarea del esclarecimiento de la verdad es y seguirá siendo un proceso de construcción lleno de desafíos. la comisión para el esclarecimiento de la verdad, la convivencia y la no repetición quedó consignada en el acuerdo de paz como un organismo extrajudicial, temporal y como uno de los pilares del sistema integral para la paz, del que también hacen parte la jurisdicción especial para la paz (jep) y la unidad de búsqueda de personas dadas por desaparecidas (ubpd). los once comisionados fuimos seleccionados en noviembre de 2017 y la comisión comenzó a funcionar oficialmente en mayo de 2018, cuando tomamos posesión, por un periodo de tres años . este fue extendido por la corte constitucional por siete meses, dados los impactos que tuvo la pandemia del covid-19 en su labor. la comisión recibió el mandato de esclarecer lo ocurrido durante el conflicto armado interno que ha vivido colombia, promover el reconocimiento de responsabilidades, así como el diálogo social y la convivencia, todo ello en un horizonte que permitiera dejar atrás la guerra para siempre.",01-prólogo.txt
01-prólogo.txt_0003,"este fue extendido por la corte constitucional por siete meses, dados los impactos que tuvo la pandemia del covid-19 en su labor. la comisión recibió el mandato de esclarecer lo ocurrido durante el conflicto armado interno que ha vivido colombia, promover el reconocimiento de responsabilidades, así como el diálogo social y la convivencia, todo ello en un horizonte que permitiera dejar atrás la guerra para siempre. en los cuatro años efectivos de vida que tuvo la comisión –y a pesar del obstáculo que significó la pandemia– se realizaron cerca de 14.000 entrevistas y se establecieron conversaciones con más de 30.000 personas de todos los sectores sociales, regiones, identidades étnicas, experiencias de vida, tanto dentro de nuestras fronteras como fuera de ellas. adicionalmente, se recibieron más de 1.000 informes de las instituciones públicas, de entidades privadas y de movimientos sociales. dentro de las limitaciones de tiempo, del contexto político y de salud pública, la escucha de la comisión fue amplia y plural, asertiva y reparadora.",01-prólogo.txt
01-prólogo.txt_0004,"adicionalmente, se recibieron más de 1.000 informes de las instituciones públicas, de entidades privadas y de movimientos sociales. dentro de las limitaciones de tiempo, del contexto político y de salud pública, la escucha de la comisión fue amplia y plural, asertiva y reparadora. se activaron conversaciones inéditas entre sectores otrora enemigos, entre víctimas y responsables, entre partes de la sociedad que piensan diferente y que nunca antes se pudieron encontrar para un diálogo constructivo y sereno. el proceso de escucha en sí mismo resultó transformador para todos los involucrados. las víctimas de todas las condiciones fueron quienes acudieron mayoritariamente al llamado de la comisión y para muchas de ellas ese momento se convirtió en la primera vez que una entidad del estado las trató como ciudadanos sujetos de derechos.",01-prólogo.txt
01-prólogo.txt_0005,"el proceso de escucha en sí mismo resultó transformador para todos los involucrados. las víctimas de todas las condiciones fueron quienes acudieron mayoritariamente al llamado de la comisión y para muchas de ellas ese momento se convirtió en la primera vez que una entidad del estado las trató como ciudadanos sujetos de derechos. también se escuchó a quienes hicieron la guerra: hombres y mujeres exguerrilleros, exparamilitares, oficiales de la fuerza pública, soldados y policías. se escuchó a los políticos que alentaron, defendieron o condujeron la guerra. a aquellos de la sociedad civil que actuaron como agentes de la violencia de diferentes maneras.",01-prólogo.txt
01-prólogo.txt_0006,"se escuchó a los políticos que alentaron, defendieron o condujeron la guerra. a aquellos de la sociedad civil que actuaron como agentes de la violencia de diferentes maneras. a quienes defendieron los derechos humanos, acompañaron a las víctimas y lucharon por la paz en los momentos más duros de la guerra. a testigos y analistas. en realidad, a todas las personas que quisieron hacer parte de este proceso.",01-prólogo.txt
01-prólogo.txt_0007,"a testigos y analistas. en realidad, a todas las personas que quisieron hacer parte de este proceso. para realizar su trabajo, la comisión contó con recursos asignados por el estado colombiano y el gobierno, y un inmenso e invaluable aporte de la comunidad internacional. esto le permitió tener colaboradores, equipos de trabajo y presencia en todos los departamentos del país, así como personas voluntarias en otros países. todos ellos entregaron no solo su conocimiento y experiencia sino su curiosidad, sensibilidad y amor profundo por colombia.",01-prólogo.txt
01-prólogo.txt_0008,"esto le permitió tener colaboradores, equipos de trabajo y presencia en todos los departamentos del país, así como personas voluntarias en otros países. todos ellos entregaron no solo su conocimiento y experiencia sino su curiosidad, sensibilidad y amor profundo por colombia. a todas estas personas les agradecemos profundamente la mística que pusieron en esta tarea que no hubiese sido posible de otra manera. una de las tareas asignadas a la comisión de la verdad desde el acuerdo de paz es la de entregar un informe final que dé cuenta del esclarecimiento de trece puntos de su mandato, en toda su complejidad, y que recomiende medidas para evitar la repetición de una historia aciaga como la que ha vivido colombia. la comisión adoptó un método de investigación inductivo, es decir, de la escucha y la observación abiertas, al análisis y la construcción de conclusiones, a partir de una pregunta macro que orientó la búsqueda de la verdad: ¿por qué, a pesar de los múltiples acuerdos y procesos de paz, el conflicto armado no logra cerrarse completamente y, en cambio, se recicla?",01-prólogo.txt
01-prólogo.txt_0009,"una de las tareas asignadas a la comisión de la verdad desde el acuerdo de paz es la de entregar un informe final que dé cuenta del esclarecimiento de trece puntos de su mandato, en toda su complejidad, y que recomiende medidas para evitar la repetición de una historia aciaga como la que ha vivido colombia. la comisión adoptó un método de investigación inductivo, es decir, de la escucha y la observación abiertas, al análisis y la construcción de conclusiones, a partir de una pregunta macro que orientó la búsqueda de la verdad: ¿por qué, a pesar de los múltiples acuerdos y procesos de paz, el conflicto armado no logra cerrarse completamente y, en cambio, se recicla? posteriormente sistematizó y decantó analíticamente sus hallazgos aunque, hay que reconocerlo, la magnitud de la información recabada y la preexistente en el país hizo de esta etapa un desafío mayúsculo. con el tiempo seguramente todo lo visto, escuchado, experimentado y reflexionado se sedimentará para darnos nuevas y más ricas perspectivas a todos los colombianos y colombianas. las verdades que los comisionados entregamos al país al finalizar el mandato son un conjunto de verdades históricas, extrajudiciales, complejas y centradas en las víctimas.",01-prólogo.txt
01-prólogo.txt_0010,"con el tiempo seguramente todo lo visto, escuchado, experimentado y reflexionado se sedimentará para darnos nuevas y más ricas perspectivas a todos los colombianos y colombianas. las verdades que los comisionados entregamos al país al finalizar el mandato son un conjunto de verdades históricas, extrajudiciales, complejas y centradas en las víctimas. consideramos que este informe final se suma al conocimiento acumulado que tiene el país respecto a su conflicto. recoge buena parte de lo producido por el centro nacional de memoria histórica; la comisión histórica del conflicto y sus víctimas; la justicia colombiana e internacional, en especial la justicia transicional; las diversas organizaciones no gubernamentales (ong) y en especial las de derechos humanos, las organizaciones de víctimas y la academia; entre otros muchos aportes la violencia en colombia que desde el libro en la década de los sesenta se han hecho alrededor del conflicto armado. procuramos alejarnos de las lecturas simplistas y binarias para escudriñar en el entramado de actores, intereses, objetivos y prácticas que convirtieron la guerra en un escenario diferenciado dependiendo del momento y el lugar.",01-prólogo.txt
